Year,importer,exporter,total_import
2023,Mauritius,China,11278111.073
2023,Mauritius,India,7114855.123
2023,Mauritius,United Arab Emirates,6376811.906
2023,Mayotte,Sudan (...2011),
2023,Mayotte,Indonesia (...2002),
2023,Mexico,United States of America,2762151065.234
2023,Mexico,China,1259521277.88
2023,Mexico,Germany,230690586.248
2023,Micronesia (Federated States of),SIDS: Pacific,1067133.661
2023,Micronesia (Federated States of),SIDS (Small island developing States) (UN-OHRLLS),1067133.661
2023,Micronesia (Federated States of),Guam,914132.579
2023,Mongolia,China,36463612.889
2023,Mongolia,Russia,27655735.187
2023,Mongolia,Japan,8177024.291
2023,Montenegro,Serbia,8389056.99
2023,Montenegro,China,5202674.623
2023,Montenegro,Germany,4663700.365
2023,Montserrat,United States of America,279270.419
2023,Montserrat,SIDS (Small island developing States) (UN-OHRLLS),101112.099
2023,Montserrat,United Kingdom,26247.998
2023,Morocco,Spain,121270953.273
2023,Morocco,France,86403594.32
2023,Morocco,China,84446380.494
2023,Mozambique,South Africa,36280493.466
2023,Mozambique,China,21245538.089
2023,Mozambique,India,11181496.904
2023,Myanmar,China,56679099.964
2023,Myanmar,SIDS (Small island developing States) (UN-OHRLLS),33951635.74
2023,Myanmar,SIDS: Pacific,33949293.582
2023,Namibia,South Africa,35781819.739
2023,Namibia,China,7250429.224
2023,Namibia,India,4590070.8270000005
2023,Nauru,Australia,480382.031
2023,Nauru,SIDS: Pacific,99941.056
2023,Nauru,SIDS (Small island developing States) (UN-OHRLLS),99941.056
2023,Nepal,India,80214354.885
2023,Nepal,China,22619092.019
2023,Nepal,Ukraine,4018345.692
2023,Netherlands,Germany,1425998545.077
2023,Netherlands,China,1179096257.136
2023,Netherlands,United States of America,874760641.483
2023,New Caledonia,France,13507307.673
2023,New Caledonia,Australia,4152605.863
2023,New Caledonia,SIDS (Small island developing States) (UN-OHRLLS),3837838.511
2023,New Zealand,China,117159096.636
2023,New Zealand,Australia,63330557.074
2023,New Zealand,United States of America,57387066.335
2023,Nicaragua,United States of America,24304565.518
2023,Nicaragua,China,11496402.27
2023,Nicaragua,El Salvador,10796069.419
2023,Niger,France,8789836.758
2023,Niger,China,7400548.387
2023,Niger,India,6764399.584
2023,Nigeria,China,157058621.668
2023,Nigeria,SIDS (Small island developing States) (UN-OHRLLS),44616148.0
2023,Nigeria,SIDS: Pacific,44553643.172
2023,Niue,New Zealand,63828.921
2023,Niue,SIDS: Pacific,6456.226
2023,Niue,SIDS (Small island developing States) (UN-OHRLLS),6456.226
2023,Norfolk Island,Sudan (...2011),
2023,Norfolk Island,Indonesia (...2002),
2023,North Macedonia,United Kingdom,18975293.329
2023,North Macedonia,Germany,14306688.247
2023,North Macedonia,China,12464910.1
2023,Norway,Germany,125418479.717
2023,Norway,China,123513323.372
2023,Norway,Sweden,112585627.349
2023,Oman,United Arab Emirates,121174366.818
2023,Oman,Saudi Arabia,49022447.756
2023,Oman,India,39615951.377
2023,Pakistan,China,132801951.132
2023,Pakistan,United Arab Emirates,45878195.228
2023,Pakistan,Indonesia,43175120.293
2023,Palau,United States of America,814762.788
2023,Palau,China,435791.376
2023,Palau,SIDS (Small island developing States) (UN-OHRLLS),364162.572
2023,Panama,China,65952219.149
2023,Panama,United States of America,62466024.105
2023,Panama,Other territories,37704317.496
2023,Papua New Guinea,Australia,21333145.31
2023,Papua New Guinea,China,13407796.068
